model,correct,adequate,suboptimal,unsafe,errors,total_score,total_tests,avg_bolus,bolus_values,avg_score,success_rate
adult#001,4,1,1,6,0,27,12,8.393333333333333,"[7.45, 19.93, 5.25, 9.84, 0.0, 6.0, 25.0, 0.0, 2.0, 24.0, 1.25, 0.0]",2.25,41.66666666666667
adult#002,4,1,1,6,0,27,12,9.08,"[9.45, 22.5, 6.56, 9.26, 0.0, 7.5, 25.0, 0.0, 2.5, 25.0, 1.19, 0.0]",2.25,41.66666666666667
adult#003,4,1,1,6,0,27,12,7.437499999999999,"[8.34, 16.65, 5.83, 3.69, 0.0, 6.67, 20.24, 0.0, 2.22, 25.0, 0.61, 0.0]",2.25,41.66666666666667
adult#004,4,2,2,4,0,30,12,3.7533333333333334,"[4.45, 8.26, 3.28, 0.28, 0.0, 3.75, 8.51, 0.0, 1.25, 15.0, 0.26, 0.0]",2.5,50.0
adult#005,4,1,1,6,0,27,12,10.743333333333334,"[15.45, 25.0, 10.5, 10.63, 0.0, 12.0, 25.0, 0.0, 4.0, 25.0, 1.34, 0.0]",2.25,41.66666666666667
adult#006,4,1,1,6,0,27,12,7.006666666666665,"[7.45, 15.25, 5.25, 3.6, 0.0, 6.0, 19.93, 0.0, 2.0, 24.0, 0.6, 0.0]",2.25,41.66666666666667
adult#007,4,2,3,3,0,31,12,3.6291666666666664,"[3.09, 7.38, 2.39, 1.84, 0.0, 2.73, 13.88, 0.0, 0.91, 10.91, 0.42, 0.0]",2.5833333333333335,50.0
adult#008,4,1,2,5,0,28,12,6.765000000000001,"[5.6, 14.6, 4.04, 6.42, 0.0, 4.62, 25.0, 0.0, 1.54, 18.46, 0.9, 0.0]",2.3333333333333335,41.66666666666667
adult#009,4,1,1,6,0,27,12,10.834166666666667,"[15.45, 25.0, 10.5, 11.62, 0.0, 12.0, 25.0, 0.0, 4.0, 25.0, 1.44, 0.0]",2.25,41.66666666666667
adult#010,4,1,1,6,0,27,12,10.471666666666666,"[15.45, 25.0, 10.5, 7.68, 0.0, 12.0, 25.0, 0.0, 4.0, 25.0, 1.03, 0.0]",2.25,41.66666666666667
population,5,1,2,4,0,31,12,5.388333333333333,"[7.45, 12.48, 5.25, 0.0, 0.0, 6.0, 7.26, 0.0, 2.0, 24.0, 0.22, 0.0]",2.5833333333333335,50.0
